mirror|weird|adapted_url|adapted_url_correct|adapted_url_archive|adapted_url_archive_correct
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Mathew_Nelson.html?title=Mathew_Nelson&action=edit&redlink=1|False|http://robowiki.net/wiki/Mathew_Nelson.html?title=Mathew_Nelson&action=edit&redlink=1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Byte_(size).html?title=Byte_(size)&action=edit&redlink=1|False|http://robowiki.net/wiki/Byte_(size).html?title=Byte_(size)&action=edit&redlink=1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Energy.html?title=Energy&action=edit&redlink=1|False|http://robowiki.net/wiki/Energy.html?title=Energy&action=edit&redlink=1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RoboWiki_Privacy_policy.html|False|http://robowiki.net/wiki/RoboWiki:Privacy_policy|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/RoboWiki_General_disclaimer.html|True|http://robowiki.net/wiki/RoboWiki:General_disclaimer|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Template_YouTube.html?title=Template:YouTube&action=edit&redlink=1|False|http://robowiki.net/wiki/Template_YouTube.html?title=Template:YouTube&action=edit&redlink=1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/SandboxLump.html?title=SandboxLump&action=edit&redlink=1|False|http://robowiki.net/wiki/SandboxLump.html?title=SandboxLump&action=edit&redlink=1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/Eclipse.html|True|http://robowiki.net/wiki/Eclipse|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/StatistRobot.html?title=StatistRobot&action=edit&redlink=1|True|http://robowiki.net/wiki/StatistRobot.html?title=StatistRobot&action=edit&redlink=1|http error|False|False
http://www.cse.chalmers.se/~bergert/robowiki-mirror/RoboWiki/robowiki.net/wiki/WaveSurfing_Challenge/Bot_B.html?title=WaveSurfing_Challenge/Bot_B&action=edit&redlink=1|False|http://robowiki.net/wiki/WaveSurfing_Challenge/Bot_B.html?title=WaveSurfing_Challenge/Bot_B&action=edit&redlink=1|http error|False|False
